tempo	vel	tempo	pos	tempo	in	tempo	esf
5000	-0,0976563	5000	4,11133	5000	4	5000	-0,065609
5001	-0,102539	5001	4,11133	5001	4	5001	-0,066208
5002	-0,102539	5002	4,11133	5002	4	5002	-0,066702
5003	-0,102539	5003	4,11133	5003	4	5003	-0,0671093
5004	-0,0976563	5004	4,11133	5004	4	5004	-0,0674452
5005	-0,0976563	5005	4,11621	5005	4	5005	-0,08578
5006	-0,102539	5006	4,11621	5006	4	5006	-0,0833714
5007	-0,102539	5007	4,11621	5007	4	5007	-0,0813854
5008	-0,0976563	5008	4,11621	5008	4	5008	-0,0797478
5009	-0,107422	5009	4,11133	5009	4	5009	-0,0603396
5010	-0,102539	5010	4,11133	5010	4	5010	-0,0618631
5011	-0,102539	5011	4,11133	5011	4	5011	-0,0631194
5012	-0,102539	5012	4,0918	5012	4	5012	0,00807615
5013	-0,102539	5013	4,11621	5013	4	5013	-0,0936149
5014	-0,102539	5014	4,11621	5014	4	5014	-0,0898318
5015	-0,102539	5015	4,11133	5015	4	5015	-0,0686545
5016	-0,102539	5016	4,11133	5016	4	5016	-0,0687193
5017	-0,107422	5017	4,11133	5017	4	5017	-0,0687727
5018	-0,0976563	5018	4,11621	5018	4	5018	-0,0868746
5019	-0,102539	5019	4,11621	5019	4	5019	-0,0842739
5020	-0,102539	5020	4,09668	5020	4	5020	-0,00989821
5021	-0,078125	5021	4,11621	5021	4	5021	-0,0909091
5022	-0,0732422	5022	4,11133	5022	4	5022	-0,0695429
5023	-0,078125	5023	4,11133	5023	4	5023	-0,0694518
5024	-0,078125	5024	4,11621	5024	4	5024	-0,0874345
5025	-0,0732422	5025	4,11621	5025	4	5025	-0,0847357
5026	-0,0732422	5026	4,11621	5026	4	5026	-0,0825103
5027	-0,0732422	5027	4,11621	5027	4	5027	-0,0806753
5028	-0,0732422	5028	4,11133	5028	4	5028	-0,0611045
5029	-0,0683594	5029	4,10645	5029	4	5029	-0,044436
5030	-0,0732422	5030	4,11133	5030	4	5030	-0,0662763
5031	-0,0732422	5031	4,11621	5031	4	5031	-0,0848162
5032	-0,0732422	5032	4,11621	5032	4	5032	-0,0825767
5033	-0,0732422	5033	4,12109	5033	4	5033	-0,0987879
5034	-0,0732422	5034	4,11133	5034	4	5034	-0,0585127
5035	-0,0732422	5035	4,11133	5035	4	5035	-0,0603567
5036	-0,0732422	5036	4,11621	5036	4	5036	-0,0799351
5037	-0,0732422	5037	4,11621	5037	4	5037	-0,0785519
5038	-0,0732422	5038	4,11133	5038	4	5038	-0,0593536
5039	-0,078125	5039	4,11133	5039	4	5039	-0,0610501
5040	-0,0732422	5040	4,11133	5040	4	5040	-0,062449
5041	-0,0683594	5041	4,11621	5041	4	5041	-0,0816603
5042	-0,0732422	5042	4,11133	5042	4	5042	-0,0619166
5043	-0,078125	5043	4,11133	5043	4	5043	-0,0631635
5044	-0,078125	5044	4,11133	5044	4	5044	-0,0641916
5045	-0,0732422	5045	4,11133	5045	4	5045	-0,0650393
5046	-0,0732422	5046	4,11133	5046	4	5046	-0,0657383
5047	-0,0732422	5047	4,11133	5047	4	5047	-0,0663147
5048	-0,078125	5048	4,11133	5048	4	5048	-0,06679
5049	-0,0732422	5049	4,11133	5049	4	5049	-0,0671819
5050	-0,0732422	5050	4,11133	5050	4	5050	-0,067505
5051	-0,0732422	5051	4,11621	5051	4	5051	-0,0858293
5052	-0,0830078	5052	4,11133	5052	4	5052	-0,0653542
5053	-0,0732422	5053	4,11133	5053	4	5053	-0,065998
5054	-0,0732422	5054	4,11133	5054	4	5054	-0,0665288
5055	-0,0683594	5055	4,11133	5055	4	5055	-0,0669665
5056	-0,0732422	5056	4,11133	5056	4	5056	-0,0673274
5057	-0,0732422	5057	4,11621	5057	4	5057	-0,0856828
5058	-0,0732422	5058	4,10645	5058	4	5058	-0,0471756
5059	-0,0732422	5059	4,11621	5059	4	5059	-0,0865932
5060	-0,0732422	5060	4,11621	5060	4	5060	-0,0840419
5061	-0,0732422	5061	4,11133	5061	4	5061	-0,0638804
5062	-0,0732422	5062	4,11621	5062	4	5062	-0,0828406
5063	-0,0732422	5063	4,11133	5063	4	5063	-0,0628899
5064	-0,0732422	5064	4,11133	5064	4	5064	-0,063966
5065	-0,078125	5065	4,11133	5065	4	5065	-0,0648533
5066	-0,0732422	5066	4,11133	5066	4	5066	-0,0655849
5067	-0,0683594	5067	4,11133	5067	4	5067	-0,0661882
5068	-0,0732422	5068	4,11621	5068	4	5068	-0,0847435
5069	-0,0732422	5069	4,11133	5069	4	5069	-0,0644589
