Amostra - Velocidade C/AI0+	Amplitude - Velocidade C/AI0+	Amostra - Set-point	Amplitude - Set-point	Amostra - Esf controle	Amplitude - Esf controle
3795	1,87988	3795	2	3795	2,48558
3796	1,90918	3796	2	3796	1,87934
3797	1,87988	3797	2	3797	2,48558
3798	1,86523	3798	2	3798	2,7887
3799	1,86035	3799	2	3799	2,88974
3800	1,8457	3800	2	3800	3,19286
3801	1,87012	3801	2	3801	2,68766
3802	1,89453	3802	2	3802	2,18246
3803	1,89941	3803	2	3803	2,08142
3804	1,875	3804	2	3804	2,58662
3805	1,85059	3805	2	3805	3,09182
3806	1,85059	3806	2	3806	3,09182
3807	1,8457	3807	2	3807	3,19286
3808	1,87988	3808	2	3808	2,48558
3809	1,89453	3809	2	3809	2,18246
3810	1,88477	3810	2	3810	2,38454
3811	1,87012	3811	2	3811	2,68766
3812	1,85547	3812	2	3812	2,99078
3813	1,86035	3813	2	3813	2,88974
3814	1,86523	3814	2	3814	2,7887
3815	1,88965	3815	2	3815	2,2835
3816	1,88965	3816	2	3816	2,2835
3817	1,875	3817	-2	3817	-10
3818	1,85059	3818	-2	3818	-10
3819	1,66016	3819	-2	3819	-10
3820	1,39648	3820	-2	3820	-10
3821	1,17676	3821	-2	3821	-10
3822	0,942383	3822	-2	3822	-10
3823	0,756836	3823	-2	3823	-10
3824	0,546875	3824	-2	3824	-10
3825	0,400391	3825	-2	3825	-10
3826	0,180664	3826	-2	3826	-10
3827	0,175781	3827	-2	3827	-10
3828	0,141602	3828	-2	3828	-10
3829	-0,610352	3829	-2	3829	-10
3830	-0,776367	3830	-2	3830	-10
3831	-0,981445	3831	-2	3831	-10
3832	-1,2207	3832	-2	3832	-10
3833	-1,41113	3833	-2	3833	-10
3834	-1,61133	3834	-2	3834	-8,04278
3835	-1,81152	3835	-2	3835	-3,90014
3836	-1,91895	3836	-2	3836	-1,67726
3837	-1,9873	3837	-2	3837	-0,2627
3838	-1,97266	3838	-2	3838	-0,56582
3839	-1,94824	3839	-2	3839	-1,07102
3840	-1,91406	3840	-2	3840	-1,7783
3841	-1,89453	3841	-2	3841	-2,18246
3842	-1,87012	3842	-2	3842	-2,68766
3843	-1,87988	3843	-2	3843	-2,48558
3844	-1,86523	3844	-2	3844	-2,7887
3845	-1,87988	3845	-2	3845	-2,48558
3846	-1,91406	3846	-2	3846	-1,7783
3847	-1,89453	3847	-2	3847	-2,18246
3848	-1,88965	3848	-2	3848	-2,2835
3849	-1,87988	3849	-2	3849	-2,48558
3850	-1,88965	3850	-2	3850	-2,2835
3851	-1,86035	3851	-2	3851	-2,88974
3852	-1,86523	3852	-2	3852	-2,7887
3853	-1,88477	3853	-2	3853	-2,38454
3854	-1,88965	3854	-2	3854	-2,2835
3855	-1,91406	3855	-2	3855	-1,7783
3856	-1,88965	3856	-2	3856	-2,2835
3857	-1,88477	3857	-2	3857	-2,38454
3858	-1,87988	3858	-2	3858	-2,48558
3859	-1,875	3859	-2	3859	-2,58662
3860	-1,88477	3860	-2	3860	-2,38454
3861	-1,9043	3861	-2	3861	-1,98038
3862	-1,87988	3862	-2	3862	-2,48558
3863	-1,87988	3863	-2	3863	-2,48558
3864	-1,88477	3864	-2	3864	-2,38454
3865	-1,875	3865	-2	3865	-2,58662
3866	-1,875	3866	-2	3866	-2,58662
3867	-1,88477	3867	-2	3867	-2,38454
3868	-1,88477	3868	-2	3868	-2,38454
3869	-1,89941	3869	-2	3869	-2,08142
3870	-1,83594	3870	-2	3870	-3,39494
3871	-1,9043	3871	-2	3871	-1,98038
3872	-1,91895	3872	-2	3872	-1,67726
3873	-1,91895	3873	-2	3873	-1,67726
3874	-1,88477	3874	-2	3874	-2,38454
3875	-1,88477	3875	-2	3875	-2,38454
3876	-1,875	3876	-2	3876	-2,58662
3877	-1,875	3877	-2	3877	-2,58662
3878	-1,91895	3878	-2	3878	-1,67726
3879	-1,89941	3879	-2	3879	-2,08142
3880	-1,88477	3880	-2	3880	-2,38454
3881	-1,87012	3881	-2	3881	-2,68766
3882	-1,875	3882	-2	3882	-2,58662
3883	-1,86523	3883	-2	3883	-2,7887
3884	-1,87988	3884	-2	3884	-2,48558
3885	-1,87988	3885	-2	3885	-2,48558
3886	-1,87988	3886	-2	3886	-2,48558
3887	-1,89941	3887	-2	3887	-2,08142
3888	-1,88965	3888	-2	3888	-2,2835
3889	-1,9043	3889	-2	3889	-1,98038
3890	-1,89941	3890	-2	3890	-2,08142
3891	-1,875	3891	-2	3891	-2,58662
3892	-1,89941	3892	-2	3892	-2,08142
3893	-1,87012	3893	-2	3893	-2,68766
3894	-1,88477	3894	-2	3894	-2,38454
3895	-1,9043	3895	-2	3895	-1,98038
3896	-1,87012	3896	-2	3896	-2,68766
3897	-1,88477	3897	-2	3897	-2,38454
3898	-1,875	3898	-2	3898	-2,58662
3899	-1,88477	3899	-2	3899	-2,38454
3900	-1,87012	3900	-2	3900	-2,68766
3901	-1,88477	3901	-2	3901	-2,38454
3902	-1,89941	3902	-2	3902	-2,08142
3903	-1,89941	3903	-2	3903	-2,08142
3904	-1,91895	3904	-2	3904	-1,67726
3905	-1,875	3905	-2	3905	-2,58662
3906	-1,86035	3906	-2	3906	-2,88974
3907	-1,86523	3907	-2	3907	-2,7887
3908	-1,88477	3908	-2	3908	-2,38454
3909	-1,90918	3909	-2	3909	-1,87934
3910	-1,91895	3910	-2	3910	-1,67726
3911	-1,90918	3911	-2	3911	-1,87934
3912	-1,89453	3912	-2	3912	-2,18246
3913	-1,88965	3913	-2	3913	-2,2835
3914	-1,875	3914	-2	3914	-2,58662
3915	-1,87012	3915	-2	3915	-2,68766
3916	-1,88477	3916	-2	3916	-2,38454
3917	-1,88477	3917	-2	3917	-2,38454
3918	-1,89941	3918	-2	3918	-2,08142
3919	-1,83594	3919	-2	3919	-3,39494
3920	-1,88965	3920	-2	3920	-2,2835
3921	-1,90918	3921	-2	3921	-1,87934
3922	-1,91406	3922	-2	3922	-1,7783
3923	-1,89941	3923	-2	3923	-2,08142
3924	-1,875	3924	-2	3924	-2,58662
3925	-1,88965	3925	-2	3925	-2,2835
3926	-1,86523	3926	-2	3926	-2,7887
3927	-1,89941	3927	-2	3927	-2,08142
3928	-1,9043	3928	-2	3928	-1,98038
3929	-1,87988	3929	-2	3929	-2,48558
3930	-1,88477	3930	-2	3930	-2,38454
3931	-1,87988	3931	-2	3931	-2,48558
3932	-1,87012	3932	-2	3932	-2,68766
3933	-1,87012	3933	-2	3933	-2,68766
3934	-1,87988	3934	-2	3934	-2,48558
3935	-1,92871	3935	-2	3935	-1,47518
3936	-1,87988	3936	-2	3936	-2,48558
3937	-1,87988	3937	-2	3937	-2,48558
3938	-1,87988	3938	-2	3938	-2,48558
3939	-1,88965	3939	-2	3939	-2,2835
3940	-1,87988	3940	-2	3940	-2,48558
3941	-1,88477	3941	-2	3941	-2,38454
3942	-1,88477	3942	-2	3942	-2,38454
3943	-1,88965	3943	-2	3943	-2,2835
3944	-1,90918	3944	-2	3944	-1,87934
3945	-1,89453	3945	-2	3945	-2,18246
3946	-1,88965	3946	-2	3946	-2,2835
3947	-1,88965	3947	-2	3947	-2,2835
3948	-1,89941	3948	-2	3948	-2,08142
3949	-1,86035	3949	-2	3949	-2,88974
3950	-1,86523	3950	-2	3950	-2,7887
3951	-1,88477	3951	-2	3951	-2,38454
3952	-1,92383	3952	-2	3952	-1,57622
3953	-1,93359	3953	-2	3953	-1,37414
3954	-1,89941	3954	-2	3954	-2,08142
3955	-1,88477	3955	-2	3955	-2,38454
3956	-1,88965	3956	-2	3956	-2,2835
3957	-1,85059	3957	-2	3957	-3,09182
