tempo                     vel                         tempo            pos                tempo               in                    tempo         esf
                       953                   -0,483398              953            2,04102                 953                    -6           953        -1,31915
                       954                   -0,488281              954            1,98242                 954                    -6           954        -1,31514
                       955                   -0,483398              955            1,92383                 955                    -6           955         -1,3172
                       956                   -0,473633              956            1,86523                 956                    -6           956        -1,32207
                       957                   -0,483398              957            1,80176                 957                    -6           957         -1,3151
                       958                   -0,478516              958            1,74316                 958                    -6           958        -1,31728
                       959                    -0,46875              959            1,69434                 959                    -6           959        -1,32226
                       960                   -0,483398              960            1,64063                 960                    -6           960         -1,3125
                       961                   -0,473633              961            1,56738                 961                    -6           961        -1,31783
                       962                   -0,473633              962            1,51367                 962                    -6           962        -1,31708
                       963                   -0,483398              963            1,45996                 963                    -6           963        -1,31061
                       964                   -0,498047              964            1,39648                 964                    -6           964        -1,30167
                       965                   -0,498047              965            1,33301                 965                    -6           965        -1,30195
                       966                   -0,517578              966             1,2793                 966                    -6           966        -1,29063
                       967                   -0,507813              967             1,2207                 967                    -6           967        -1,29735
                       968                   -0,527344              968            1,15234                 968                    -6           968        -1,28625
                       969                   -0,541992              969             1,0791                 969                    -6           969         -1,2787
                       970                   -0,532227              970            1,01563                 970                    -6           970        -1,28603
                       971                   -0,551758              971           0,952149                 971                    -6           971        -1,27549
                       972                   -0,541992              972           0,888672                 972                    -6           972        -1,28291
                       973                   -0,532227              973           0,810547                 973                    -6           973        -1,28981
                       974                   -0,537109              974           0,771484                 974                    -6           974        -1,28758
                       975                   -0,522461              975           0,708008                 975                    -6           975        -1,29703
                       976                   -0,493164              976           0,620117                 976                    -6           976        -1,31457
                       977                   -0,493164              977           0,566406                 977                    -6           977        -1,31368
                       978                   -0,483398              978           0,517578                 978                    -6           978        -1,31866
                       979                   -0,493164              979           0,449219                 979                    -6           979        -1,31181
                       980                   -0,498047              980           0,380859                 980                    -6           980         -1,3083
                       981                   -0,488281              981           0,332031                 981                    -6           981        -1,31371
                       982                   -0,488281              982           0,263672                 982                    -6           982        -1,31302
                       983                   -0,478516              983           0,214844                 983                    -6           983        -1,31819
                       984                   -0,473633              984            0,15625                 984                    -6           984        -1,32018
                       985                   -0,483398              985          0,0878906                 985                    -6           985         -1,3134
                       986                   -0,473633              986          0,0390625                 986                    -6           986        -1,31865
                       987                    -0,46875              987           0,102539                 987                    -6           987        -1,32071
                       988                   -0,463867              988         -0,0830078                 988                    -6           988        -1,32268
                       989                   -0,473633              989          -0,126953                 989                    -6           989        -1,31588
                       990                    -0,46875              990          -0,200195                 990                    -6           990        -1,31822
                       991                   -0,483398              991          -0,253906                 991                    -6           991        -1,30886
                       992                   -0,478516              992            -0,3125                 992                    -6           992        -1,31167
                       993                    -0,50293              993          -0,385742                 993                    -6           993        -1,29694
                       994                   -0,517578              994           -0,43457                 994                    -6           994         -1,2889
                       995                   -0,507813              995          -0,507813                 995                    -6           995        -1,29579
                       996                   -0,522461              996          -0,561523                 996                    -6           996        -1,28775
                       997                   -0,537109              997          -0,620117                 997                    -6           997        -1,28016
                       998                   -0,537109              998          -0,693359                 998                    -6           998        -1,28167
                       999                   -0,541992              999          -0,756836                 999                    -6           999        -1,28013
                      1000                   -0,532227             1000          -0,825195                1000                    -6          1000        -1,28732
                      1001                   -0,541992             1001          -0,898438                1001                    -6          1001        -1,28244
                      1002                   -0,537109             1002          -0,961914                1002                    -6          1002         -1,2865
                      1003                   -0,527344             1003           -1,02539                1003                    -6          1003        -1,29316
                      1004                   -0,493164             1004           -1,08887                1004                    -6          1004        -1,31386
                      1005                   -0,493164             1005           -1,13281                1005                    -6          1005        -1,31304
                      1006                   -0,473633             1006           -1,20605                1006                    -6          1006        -1,32388
                      1007                   -0,488281             1007           -1,26953                1007                    -6          1007        -1,31384
                      1008                   -0,493164             1008           -1,31836                1008                    -6          1008        -1,31025
                      1009                   -0,483398             1009           -1,37695                1009                    -6          1009        -1,31558
                      1010                   -0,473633             1010           -1,44531                1010                    -6          1010        -1,32061
                      1011                   -0,463867             1011           -1,49902                1011                    -6          1011        -1,32537
                      1012                   -0,478516             1012           -1,55762                1012                    -6          1012        -1,31541
                      1013                    -0,46875             1013           -1,61621                1013                    -6          1013        -1,32057
